key,value,date
.rst,0.000,8/10/14
.js,0.054,8/10/14
spelling_wordlist,0.001,8/10/14
.eslintignore,0.000,8/10/14
.hidden,0.000,8/10/14
.eslintrc,0.000,8/10/14
.vrt,0.000,8/10/14
.png,0.000,8/10/14
.sql,0.000,8/10/14
.json,0.005,8/10/14
.csv,0.000,8/10/14
.css,0.004,8/10/14
".txt""",0.000,8/10/14
.python,0.000,8/10/14
.cfg,0.000,8/10/14
.txt,0.118,8/10/14
AUTHORS,0.002,8/10/14
.html,0.002,8/10/14
.hgignore,0.000,8/10/14
.gitattributes,0.000,8/10/14
django_bash_completion,0.000,8/10/14
.ignoreme,0.000,8/10/14
.po,0.411,7/10/14
.graffle,0.000,7/10/14
.in,0.000,7/10/14
LICENSE,0.000,7/10/14
.editorconfig ,0.000,7/10/14
backup~,0.000,7/10/14
Makefile,0.000,7/10/14
.djtpl,0.000,7/10/14
file_txt,0.000,7/10/14
.py,0.401,7/10/14
.py-tpl,0.000,7/10/14
.xml,0.001,7/10/14
.coveragerc,0.000,7/10/14
.pristine,0.000,7/10/14
.gitignore,0.000,7/10/14
.svg,0.000,7/10/14
README,0.000,7/10/14
.1,0.005,7/10/14
.prj,0.000,7/10/14
config,0.000,7/10/14
.keep,0.000,7/10/14
.sh,0.000,7/10/14
.rst,0.000,7/10/14
.js,0.054,7/10/14
spelling_wordlist,0.001,7/10/14
.eslintignore,0.000,7/10/14
.hidden,0.000,7/10/14
.eslintrc,0.000,7/10/14
.vrt,0.000,7/10/14
.png,0.000,7/10/14
.sql,0.000,7/10/14
.json,0.005,7/10/14
.csv,0.000,7/10/14
.css,0.004,7/10/14
".txt""",0.000,7/10/14
.python,0.000,7/10/14
.cfg,0.000,7/10/14
.txt,0.122,7/10/14
AUTHORS,0.002,7/10/14
.html,0.002,7/10/14
.hgignore,0.000,7/10/14
.gitattributes,0.000,7/10/14
django_bash_completion,0.000,7/10/14
.ignoreme,0.000,7/10/14
.po,0.413,6/10/14
.graffle,0.000,6/10/14
.in,0.000,6/10/14
LICENSE,0.000,6/10/14
.editorconfig ,0.000,6/10/14
backup~,0.000,6/10/14
Makefile,0.000,6/10/14
.djtpl,0.000,6/10/14
file_txt,0.000,6/10/14
.py,0.410,6/10/14
.py-tpl,0.000,6/10/14
.xml,0.001,6/10/14
.coveragerc,0.000,6/10/14
.pristine,0.000,6/10/14
.gitignore,0.000,6/10/14
.svg,0.000,6/10/14
README,0.000,6/10/14
.1,0.005,6/10/14
.prj,0.000,6/10/14
config,0.000,6/10/14
.keep,0.000,6/10/14
.sh,0.000,6/10/14
.rst,0.000,6/10/14
.js,0.054,6/10/14
spelling_wordlist,0.001,6/10/14
.eslintignore,0.000,6/10/14
.hidden,0.000,6/10/14
.eslintrc,0.000,6/10/14
.vrt,0.000,6/10/14
.png,0.000,6/10/14
.sql,0.000,6/10/14
.json,0.005,6/10/14
.csv,0.000,6/10/14
.css,0.004,6/10/14
".txt""",0.000,6/10/14
.python,0.000,6/10/14
.cfg,0.000,6/10/14
.txt,0.125,6/10/14
AUTHORS,0.002,6/10/14
.html,0.002,6/10/14
.hgignore,0.000,6/10/14
.gitattributes,0.000,6/10/14
django_bash_completion,0.000,6/10/14
.ignoreme,0.000,6/10/14
.po,0.413,5/10/14
.graffle,0.000,5/10/14
.in,0.000,5/10/14
LICENSE,0.000,5/10/14
.editorconfig ,0.000,5/10/14
backup~,0.000,5/10/14
Makefile,0.000,5/10/14
.djtpl,0.000,5/10/14
file_txt,0.000,5/10/14
.py,0.417,5/10/14
.py-tpl,0.000,5/10/14
.xml,0.001,5/10/14
.coveragerc,0.000,5/10/14
.pristine,0.000,5/10/14
.gitignore,0.000,5/10/14
.svg,0.000,5/10/14
README,0.000,5/10/14
.1,0.005,5/10/14
.prj,0.000,5/10/14
config,0.000,5/10/14
.keep,0.000,5/10/14
.sh,0.000,5/10/14
.rst,0.000,5/10/14
.js,0.054,5/10/14
spelling_wordlist,0.001,5/10/14
.eslintignore,0.000,5/10/14
.hidden,0.000,5/10/14
.eslintrc,0.000,5/10/14
.vrt,0.000,5/10/14
.png,0.000,5/10/14
.sql,0.000,5/10/14
.json,0.005,5/10/14
.csv,0.000,5/10/14
.css,0.004,5/10/14
".txt""",0.000,5/10/14
.python,0.000,5/10/14
.cfg,0.000,5/10/14
.txt,0.128,5/10/14
AUTHORS,0.002,5/10/14
.html,0.002,5/10/14
.hgignore,0.000,5/10/14
.gitattributes,0.000,5/10/14
django_bash_completion,0.000,5/10/14
.ignoreme,0.000,5/10/14
.po,0.457,4/10/14
.graffle,0.000,4/10/14
.in,0.000,4/10/14
LICENSE,0.000,4/10/14
.editorconfig ,0.000,4/10/14
backup~,0.000,4/10/14
Makefile,0.000,4/10/14
.djtpl,0.000,4/10/14
file_txt,0.000,4/10/14
.py,0.442,4/10/14
.py-tpl,0.000,4/10/14
.xml,0.001,4/10/14
.coveragerc,0.000,4/10/14
.pristine,0.000,4/10/14
.gitignore,0.000,4/10/14
.svg,0.000,4/10/14
README,0.000,4/10/14
.1,0.005,4/10/14
.prj,0.000,4/10/14
config,0.000,4/10/14
.keep,0.000,4/10/14
.sh,0.000,4/10/14
.rst,0.000,4/10/14
.js,0.054,4/10/14
spelling_wordlist,0.001,4/10/14
.eslintignore,0.000,4/10/14
.hidden,0.000,4/10/14
.eslintrc,0.000,4/10/14
.vrt,0.000,4/10/14
.png,0.000,4/10/14
.sql,0.000,4/10/14
.json,0.005,4/10/14
.csv,0.000,4/10/14
.css,0.004,4/10/14
